DT_REFER;DENOM_CIA;liquidez_imediata;liquidez_seca;liquidez_corrente;liquidez_geral
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;0.4346929697594453;0.6980039680578405;0.6992395732572672;3.5199601460307317
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;0.2621997125453425;23.763192115529396;23.763192115529396;18.082324702517745
2010-12-31;ALUPAR INVESTIMENTO S/A;0.02633493530499076;2.14682292051756;2.1759260628465804;1.89271817695043
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;0.07344775187755437;1.7925270653098;1.7988856125247492;7.040276497724521
2010-12-31;BR PROPERTIES S.A.;0.5529374265583894;0.7224133091659888;0.7378699435302402;2.1309410017505885
2010-12-31;BRASKEM S.A.;0.31011858688394794;0.6763081486383484;1.0375965918826775;1.432431648656447
2010-12-31;BRF S.A.;0.40634663434618556;1.353990339027403;1.7325826043404737;1.9660991840682722
2010-12-31;CCR S.A.;0.011055100268832318;0.5528845474184766;0.5659849037026663;1.326201724894234
2010-12-31;CIA SIDERURGICA NACIONAL;2.2978863116885155;2.788382064001993;3.5444002464118243;1.2609430497016432
2010-12-31;CIA TECIDOS SANTANENSE;0.061368677602212665;1.4849111372785277;2.4183804803242324;2.8872183963894935
2010-12-31;COGNA EDUCAÇÃO S.A.;0.19562227139525148;1.3605645595359128;1.5020184199509599;3.9294569469868277
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;0.010317961676142346;0.1637186776163403;0.36870920193724993;0.4235177730777103
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;3.8092449710664096;4.319661063653899;4.432405621383301;2.438660461780455
2010-12-31;DOHLER S.A.;1.0015713204911831;2.5121534850336573;4.280044229761974;4.349897754055178
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;0.7840761349576943;0.9612874010194336;0.9675723805921268;1.7518651891220396
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;0.13616809549599532;0.9620094315945207;1.113601838764646;1.032875524770189
2010-12-31;EMBRAER S.A.;0.583174508740838;1.1575046692671525;2.0858637654316956;1.5954129840081148
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;0.9230795102919414;1.4906296246468451;1.4906296246468451;2.4390604874236015
2010-12-31;ENGIE BRASIL ENERGIA S.A.;0.47905203824344933;0.8233780474529591;0.8437476491677722;1.6522168009582385
2010-12-31;GERDAU S.A.;0.2112813875226508;1.224269499591788;2.57789760847488;1.8858569064017663
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;0.021599225790842558;0.31873828101373014;0.3344825500514123;0.9352668665868779
2010-12-31;JSL S.A.;0.5790491971584198;1.4465440599396797;1.4766839701612235;1.3844481392691528
2010-12-31;KLABIN S.A.;1.4968865932191662;2.152399916494817;2.4407802175511097;1.725297573106998
2010-12-31;MANGELS INDUSTRIAL S.A.;0.5496853225942369;1.6976258376983089;2.1752879553286704;1.360129724993174
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;0.039183948743888045;3.213488450514247;4.3900118023942;1.2064057821072343
2010-12-31;OSX BRASIL S.A.;4.916734600603386;5.274566632754631;5.283197721814375;3.5002732408834105
2010-12-31;PADTEC HOLDING S.A.;0.13286473294862344;0.8582886341103796;1.1641330045504232;1.3357061122211584
2010-12-31;PBG S/A;0.05094816436175505;0.47990846681922195;0.8537538553377774;1.1200901722511083
2010-12-31;PETRO RIO S.A.;0.5924136951271487;69.44188094899843;69.50259980110812;76.59190225884359
2010-12-31;POSITIVO TECNOLOGIA S.A.;0.11474412941914433;1.0840373601581075;1.7986685557112725;1.727517307832967
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;0.20590471435529603;0.8067130862519044;0.8189530467223453;1.2652011746036893
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;0.09808733972538808;1.392450546931628;1.809197578921501;1.4535114424104167
2010-12-31;RUMO S.A.;1.1589813482749047;1.5176594746854353;1.5867865467161824;1.4404093024968188
2010-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;0.14021574922605223;0.9139616563863173;1.6710366119254885;1.6260410936073497
2010-12-31;SER EDUCACIONAL S.A.;0.09702426616061695;1.114628336092381;1.114628336092381;2.216688900326677
2010-12-31;SUZANO HOLDING S.A.;1.793758830516943;2.2971454475066095;2.611328209013993;1.8364028219898947
2010-12-31;SUZANO S.A.;1.8000002891227678;2.2933338409044146;2.613584529618941;1.8411181992746308
2010-12-31;TAURUS ARMAS S.A.;0.1428890618693421;1.3879374963962405;2.3550640027676875;1.854059657099625
2010-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;1.345089158252654;3.506015262024035;3.5085654216523476;2.213244555196771
2010-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;0.07303631896952394;0.523106035455813;1.8377155124715048;4.078029289586707
2010-12-31;UNIPAR CARBOCLORO S.A.;0.1329398958422266;3.5169256381798;3.558679458721079;1.5887814429030562
2010-12-31;VALE S.A.;0.4291640521586503;1.4872404945792579;1.7291466452945339;2.1829619998932226
2010-12-31;VALID SOLUÇÕES S.A.;0.7422255506514338;1.572188849408053;2.0256696250736947;2.293214920071048
2010-12-31;VIX LOGÍSTICA S/A;0.09392084975162689;1.9592410827078963;2.024169007967302;1.3493795912931597
2010-12-31;VULCABRAS S.A.;0.08110717836548022;1.0345627361304435;1.4977116723006563;1.488882651803528
