DT_REFER;DENOM_CIA;Ativo Circulante;Ativo Não Circulante;Ativo Total;Passivo Circulante;Passivo Não Circulante;Passivo Total;Patrimônio Líquido Consolidado;passivo
2010-12-31;VULCABRAS S.A.;941499.0;671150.0;1612649.0;628625.0;454502.0;1612649.0;529522.0;1083127.0
2010-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;313690.0;254420.0;568110.0;101977.0;29832.0;568110.0;436301.0;131809.0
2010-12-31;YDUQS PARTICIPACOES S.A.;390428.0;414108.0;804536.0;139498.0;79140.0;804536.0;585898.0;218638.0
2011-03-31;COSAN S.A.;3462254.0;15282402.0;18744656.0;2457376.0;9502934.0;18744656.0;6784346.0;11960310.0
2011-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;437849.0;2833552.0;3271401.0;125330.0;715676.0;3271401.0;2430395.0;841006.0
2011-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;384894.0;219306.0;604200.0;76352.0;80956.0;604200.0;446892.0;157308.0
2011-12-31;ALUPAR INVESTIMENTO S/A;1500212.0;4910511.0;6410723.0;918682.0;2678720.0;6410723.0;2813321.0;3597402.0
2011-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;2401134.0;21188788.0;23589922.0;1929946.0;2402485.0;23589922.0;19257491.0;4332431.0
2011-12-31;BR PROPERTIES S.A.;1180746.0;5258633.0;6439379.0;242545.0;2504101.0;6439379.0;3692733.0;2746646.0
2011-12-31;BRASKEM S.A.;10171777.0;27182384.0;37354161.0;9061588.0;18341355.0;37354161.0;9951218.0;27402943.0
2011-12-31;BRF S.A.;11123751.0;18859705.0;29983456.0;7987829.0;7885710.0;29983456.0;14109917.0;15873539.0
2011-12-31;CCR S.A.;1380739.0;11470627.0;12851366.0;2912071.0;6725080.0;12851366.0;3214215.0;9637151.0
2011-12-31;CIA SIDERURGICA NACIONAL;21944306.0;24925396.0;46869702.0;6496947.0;31955585.0;46869702.0;8417170.0;38452532.0
2011-12-31;CIA TECIDOS SANTANENSE;188973.0;154020.0;342993.0;96444.0;25347.0;342993.0;221202.0;121791.0
2011-12-31;COGNA EDUCAÇÃO S.A.;457129.0;2509343.0;2966472.0;583682.0;907459.0;2966472.0;1475331.0;1491141.0
2011-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;19738.0;4739.0;24477.0;18018.0;15308.0;24477.0;-8849.0;33326.0
2011-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;809535.0;5735999.0;6545534.0;522545.0;2736049.0;6545534.0;3286940.0;3258594.0
2011-12-31;DOHLER S.A.;238376.0;282145.0;520521.0;51397.0;67725.0;520521.0;401399.0;119122.0
2011-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;877632.0;3278805.0;4156437.0;861930.0;1409406.0;4156437.0;1885101.0;2271336.0
2011-12-31;EMBPAR PARTICIPAÇÕES S/A;195583.0;369410.0;564993.0;265617.0;329909.0;564993.0;-30533.0;595526.0
