DT_REFER;DENOM_CIA;roic;roe;roa
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;14.848114887725734;12.726425516973652;9.11092278711333
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;3.2956759962719233;3.90775182442472;3.6916428954726466
2010-12-31;ALUPAR INVESTIMENTO S/A;13.401097989195069;16.770254387910057;7.909846857545189
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;7.698691900119179;5.89362568134133;5.0564958209947655
2010-12-31;BR PROPERTIES S.A.;29.916383885093655;30.019450298397842;15.932035267321629
2010-12-31;BRASKEM S.A.;9.318874160535637;18.153661419372987;5.480343682781325
2010-12-31;BRF S.A.;6.05745690501506;5.903237175355175;2.9007247776132985
2010-12-31;CCR S.A.;16.42492976911511;21.574008323806915;5.306491912962655
2010-12-31;CIA SIDERURGICA NACIONAL;14.73244483629547;32.16529919127542;6.6563761682362905
2010-12-31;CIA TECIDOS SANTANENSE;14.229448563559693;11.251064503990651;7.354211907713119
2010-12-31;COGNA EDUCAÇÃO S.A.;-2.64152080863292;-3.6294867773617456;-2.705825613407552
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;4.4301248489730165;27.800461565773123;-37.84132098268224
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;-0.3314604713837121;-1.7802859923567689;-1.0502598077943677
2010-12-31;DOHLER S.A.;0.6499831677665718;3.2043041347111387;2.467665179985379
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;27.4952613870741;33.226129236682596;14.259984214225632
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;12.673967563952516;-16.016179019803538;-0.5097809730814246
2010-12-31;EMBRAER S.A.;5.724885190730801;11.502605429881077;4.29280737434352
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;4.365056791247132;5.719882436690808;3.3747653450139374
2010-12-31;ENGIE BRASIL ENERGIA S.A.;20.698469948689088;23.88575752008207;9.428963771084351
2010-12-31;GERDAU S.A.;9.667263213997444;12.19687293012101;5.729323409944124
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;0.4561515760414383;44.4793560114256;-3.0785738163962946
2010-12-31;JSL S.A.;9.871049277048902;11.44117401120495;3.177105689191298
2010-12-31;KLABIN S.A.;9.062865812218222;11.294049357241494;4.7479036179284595
2010-12-31;MANGELS INDUSTRIAL S.A.;7.433377956165361;9.481493236005871;2.5104719710647974
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;13.268840998089146;56.19250672446292;9.614060601375526
2010-12-31;OSX BRASIL S.A.;-6.011974705327869;-3.17072689744028;-2.2648756454848633
2010-12-31;PADTEC HOLDING S.A.;0.25303624583473594;-26.687935951361556;-6.707540782710325
2010-12-31;PBG S/A;12.699190373302411;53.100138076139125;5.693117291892102
2010-12-31;PETRO RIO S.A.;-6.977792385664025;-5.351336255387702;-5.28146808267536
2010-12-31;POSITIVO TECNOLOGIA S.A.;7.165135987737386;12.996459325960572;5.473258680136887
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;6.513393351238443;-14.147529877545937;-2.9654900869351684
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;6.023973208364649;10.57596367865767;3.2998161575076996
2010-12-31;RUMO S.A.;7.864416115354865;6.266470845167263;1.91599155132703
2010-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;12.772964878178863;14.376484224810584;5.5350814574816525
2010-12-31;SER EDUCACIONAL S.A.;21.756045320355778;30.8374341707675;16.92594926811701
2010-12-31;SUZANO HOLDING S.A.;6.521163282718353;8.719990011602153;3.971581924234197
2010-12-31;SUZANO S.A.;6.7756596620965475;8.899737069030866;4.065861073162045
2010-12-31;TAURUS ARMAS S.A.;12.921496087956225;15.265567904745984;7.031977444864836
2010-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;17.705793265921155;17.088098410351968;9.367262332735264
2010-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;-5.31657753549061;-7.697762324940384;-5.81014412057959
2010-12-31;UNIPAR CARBOCLORO S.A.;5.419512702524655;8.098650848599389;3.0012531638672737
2010-12-31;VALE S.A.;22.117511150570333;26.15173396232877;14.171803041127228
2010-12-31;VALID SOLUÇÕES S.A.;20.96886327725625;20.639490165915834;11.639247761563961
2010-12-31;VIX LOGÍSTICA S/A;15.928870075756125;23.162699464082195;5.997255719757788
2010-12-31;VULCABRAS S.A.;11.256634270693747;22.852497157814028;7.5037407396153775
2010-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;16.490468395205156;12.633938496588366;9.702698421080424
2010-12-31;YDUQS PARTICIPACOES S.A.;6.54663060447264;13.766901406046786;10.0256545387652
2011-03-31;COSAN S.A.;9.348082994961338;11.446379651037846;4.142844765996239
2011-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;17.110681325829518;14.989621028680522;11.136115688660606
2011-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;16.063058589870906;24.56768078193389;18.171300893743794
2011-12-31;ALUPAR INVESTIMENTO S/A;13.073923175279917;15.605897798367124;6.848587904983572
2011-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;7.830301431263741;5.444785096874769;4.444817579303568
2011-12-31;BR PROPERTIES S.A.;14.084215263614706;9.082947507983924;5.208716554810643
2011-12-31;BRASKEM S.A.;4.207697236192776;-5.193726034340721;-1.3836182801696442
