DT_REFER;DENOM_CIA;margem_bruta;margem_liquida;margem_ebit
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;81.2236161484036;114.99981082001416;152.4077207054792
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;100.0;91.70700905072616;69.00301690872097
2010-12-31;ALUPAR INVESTIMENTO S/A;53.355292103883265;33.78752629326712;50.534303296226426
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;89.87911844356911;54.43313227626972;61.567550702621666
2010-12-31;BR PROPERTIES S.A.;100.0;397.8049925659285;590.8966859691682
2010-12-31;BRASKEM S.A.;16.01518457653569;7.411251471230407;12.610253291874972
2010-12-31;BRF S.A.;25.26359985491101;3.5491689987321244;6.545405582310643
2010-12-31;CCR S.A.;47.2940289303401;14.547364370779704;36.5290634656974
2010-12-31;CIA SIDERURGICA NACIONAL;46.80643105329846;17.412471947356874;34.58940895511646
2010-12-31;CIA TECIDOS SANTANENSE;25.75076499001087;7.183319424424045;11.545343044280909
2010-12-31;COGNA EDUCAÇÃO S.A.;27.560819835879407;-4.939792989939652;-5.228779968016329
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;55.9413754227734;-52.965050732807214;6.031567080045096
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;38.83379573185366;-15.084431729818466;-9.949408161893881
2010-12-31;DOHLER S.A.;23.959351340829922;5.023499499191001;-0.5060806728277664
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;56.317280373884145;41.61079231833949;67.90694644468229
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;15.165887573694906;-0.27783093226902855;6.218984354355175
2010-12-31;EMBRAER S.A.;19.166771936837897;6.398059830768206;7.307828636151642
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;59.81636928614614;25.02425443961699;25.25765948172832
2010-12-31;ENGIE BRASIL ENERGIA S.A.;53.95374234735748;29.54966867713025;52.437858823363
2010-12-31;GERDAU S.A.;17.58257016668796;7.827740706596767;11.609364305509514
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;66.90131992457574;-15.38026398491515;2.174732872407291
2010-12-31;JSL S.A.;17.505209619716247;4.586782380122053;11.891588639454877
2010-12-31;KLABIN S.A.;37.420703695585175;15.891390234587943;22.422001699552617
2010-12-31;MANGELS INDUSTRIAL S.A.;16.30368311593472;2.746154936248607;6.598048966074581
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;39.696153630631194;26.23633301140166;33.531381746144234
2010-12-31;OSX BRASIL S.A.;6.418383518225039;-873.6246321032376;-1948.7774507584334
2010-12-31;PADTEC HOLDING S.A.;19.756523937289906;-3.2962855913434863;-0.42509333187112625
2010-12-31;PBG S/A;31.95917210093564;6.316592200072348;13.568041610042725
2010-12-31;PETRO RIO S.A.;7.535432565894953;-913.0379016225229;-1227.999743474636
2010-12-31;POSITIVO TECNOLOGIA S.A.;27.304461023240627;3.832093503837636;4.970989493492238
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;20.826098921280657;-5.463676741010575;11.250905151756491
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;31.49559510100351;10.161758782852377;14.615301705799263
2010-12-31;RUMO S.A.;44.1745526017321;8.711686921265823;37.11096769929229
2010-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;43.12342485571295;3.8993926908193055;7.494491787523579
2010-12-31;SER EDUCACIONAL S.A.;64.328077227947;25.279554976786322;31.76027629939984
2010-12-31;SUZANO HOLDING S.A.;30.327844369340717;16.90519782948995;24.866146349018457
2010-12-31;SUZANO S.A.;30.24848007801709;17.03626345654063;25.508968664008346
2010-12-31;TAURUS ARMAS S.A.;43.08592854228525;10.469683929012833;15.420410448539068
2010-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;91.1627184777246;53.67308043887131;85.36440293816382
2010-12-31;TRONOX PIGMENTOS DO BRASIL S.A.;6.2878512329570135;-9.506993760174588;-8.795081590925944
2010-12-31;UNIPAR CARBOCLORO S.A.;38.678004262666256;9.580247538215373;13.41759583093532
2010-12-31;VALE S.A.;59.439995000541124;36.55330662813883;48.5938775589409
2010-12-31;VALID SOLUÇÕES S.A.;26.000034352955474;12.409344532396819;18.17786639078601
2010-12-31;VIX LOGÍSTICA S/A;17.11840722170182;5.176378170614472;12.079603226317994
2010-12-31;VULCABRAS S.A.;30.809115405863295;6.1956354226773085;9.715109006913508
2010-12-31;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;14.073664053008489;5.608749005378587;7.307999910458634
2010-12-31;YDUQS PARTICIPACOES S.A.;31.412401245478055;7.937757588401781;5.855793795440857
2011-03-31;COSAN S.A.;16.12868063075332;4.299071939626251;7.405870851020955
2011-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;83.2064237972489;166.2098227524694;205.5126947555718
2011-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;100.0;75.52209443099274;52.67719568567026
2011-12-31;ALUPAR INVESTIMENTO S/A;69.26193409110572;36.17565268262136;60.841514610944714
2011-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;90.01414472611548;49.552808316512944;61.790713819534474
2011-12-31;BR PROPERTIES S.A.;100.0;97.65477604639787;213.43546921948155
2011-12-31;BRASKEM S.A.;11.629462240355725;-1.5578626338913244;5.81714399737643
2011-12-31;BRF S.A.;25.905288047204728;5.3103414042926085;7.78460465510356
