DT_REFER;DENOM_CIA;divida_pl;divida_ativos;divida_ebit;pl_ativos;passivos_ativos
2010-12-31;ALIANSCE SONAE SHOPPING CENTERS S.A.;0.1207371469143682;0.0864364327285792;0.7158542813368893;0.7159058743526838;0.2840941256473162
2010-12-31;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;0.003354370397830721;0.0031688649137176263;0.11408235892221658;0.9446973762250402;0.05530262377495975
2010-12-31;ALUPAR INVESTIMENTO S/A;0.9175869028125179;0.4327884188190134;3.6582861232035304;0.4716593245745587;0.5283406754254413
2010-12-31;B3 S.A. - BRASIL, BOLSA, BALCÃO;0.05372111959350428;0.04609057843352747;0.8058866380685535;0.8579601241054653;0.14203987589453465
2010-12-31;BR PROPERTIES S.A.;0.6754793372873662;0.3584929276530997;1.5148443390877615;0.5307237510665521;0.46927624893344794
2010-12-31;BRASKEM S.A.;1.2229185477801052;0.36918249068645975;3.959141650551904;0.3018864104699498;0.6981135895300502
2010-12-31;BRF S.A.;0.5282095473345908;0.25955089999126896;4.851836209567689;0.49137866080042314;0.5086213391995769
2010-12-31;CCR S.A.;2.1371488891507107;0.5256678836338835;3.945024605408252;0.24596689837682792;0.754033101623172
2010-12-31;CIA SIDERURGICA NACIONAL;2.568100248916996;0.5314497835968972;4.0192189576311845;0.20694277173214595;0.7930572282678541
2010-12-31;CIA TECIDOS SANTANENSE;0.2502228031608342;0.16355710323534836;1.383730799770008;0.6536458754729072;0.34635412452709285
2010-12-31;COGNA EDUCAÇÃO S.A.;0.11182759600870401;0.08336880449695191;-2.9107985712463322;0.7455119082633501;0.2544880917366499
2010-12-31;CONSTRUTORA ADOLPHO LINDENBERG S.A.;-0.28208769749689333;0.38397100281917035;8.910280373831776;-1.361175996778091;2.361175996778091
2010-12-31;CPFL ENERGIAS RENOVÁVEIS S.A.;0.5816560183365038;0.34314146190176364;-49.5345426476264;0.5899388144957644;0.41006118550423565
2010-12-31;DOHLER S.A.;0.045519328513599154;0.03505486909701542;-14.100961538461538;0.7701095389960021;0.2298904610039979
2010-12-31;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;0.9907448372837577;0.42520769239632666;1.8271485231240556;0.42917982147863926;0.5708201785213607
2010-12-31;EMBPAR PARTICIPAÇÕES S/A;24.969480485370593;0.7947567296438722;6.964849301821272;0.03182912556428691;0.9681708744357131
2010-12-31;EMBRAER S.A.;0.45816736961878446;0.17098945756008826;3.487288481736492;0.3732030452154615;0.6267969547845386
2010-12-31;ENAUTA PARTICIPAÇÕES S.A.;0.4258729268539602;0.25126761097521666;7.37668049099563;0.5900060678461042;0.40999393215389573
2010-12-31;ENGIE BRASIL ENERGIA S.A.;0.8760490501675248;0.34582259946236227;2.0667934173956075;0.39475255340580695;0.605247446594193
2010-12-31;GERDAU S.A.;0.7281256367068757;0.3420276065566738;4.025184714060877;0.4697370746394487;0.5302629253605513
2010-12-31;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;-0.49088548428979484;0.03397592353619917;7.805119735755574;-0.0692135429210236;1.0692135429210237
2010-12-31;JSL S.A.;1.9131862294211104;0.5312737004107587;6.449928694613956;0.2776905312409189;0.7223094687590811
2010-12-31;KLABIN S.A.;0.9423018945380175;0.3961341439852387;5.913272517649981;0.420389841388838;0.579610158611162
2010-12-31;MANGELS INDUSTRIAL S.A.;2.2739318443289562;0.6020826063157453;9.981830846926336;0.26477601244615206;0.7352239875538479
2010-12-31;MOURA DUBEUX ENGENHARIA S/A;2.76608046764139;0.4732528729245732;3.8515725990769365;0.17109150599950235;0.8289084940004976
2010-12-31;OSX BRASIL S.A.;0.33612556367747787;0.24009718516362066;-4.752316226656211;0.7143080179227331;0.2856919820772668
2010-12-31;PADTEC HOLDING S.A.;1.0521599109097886;0.26444178842538835;-30.570835155225186;0.25133231715389065;0.7486676828461093
2010-12-31;PBG S/A;2.3477217437043856;0.2517103672399026;2.058337776881062;0.10721473612232166;0.8927852638776783
2010-12-31;PETRO RIO S.A.;0.00013155634539479494;0.00012983871805411084;-0.0018278480483805266;0.9869437894802445;0.013056210519755517
2010-12-31;POSITIVO TECNOLOGIA S.A.;0.590432894756014;0.2486517200732173;3.502182273886176;0.42113459849822266;0.5788654015017773
2010-12-31;REDE ENERGIA PARTICIPAÇÕES S.A.;2.357662484219108;0.49419402438494725;8.092795124719197;0.20961186246666327;0.7903881375333367
2010-12-31;RNI NEGÓCIOS IMOBILIÁRIOS S.A.;1.326257402126617;0.41380679222482575;8.719045955596957;0.3120109200229895;0.6879890799770105
2010-12-31;RUMO S.A.;1.2450088506302024;0.3806650502450671;4.663901779300923;0.30575288685890134;0.6942471131410987
2010-12-31;SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;0.5678031588073429;0.21860954922415615;2.0549435558132396;0.3850093924861925;0.6149906075138075
2010-12-31;SER EDUCACIONAL S.A.;0.1393939393939394;0.07651008619586695;0.35979142526071844;0.548876705318176;0.451123294681824
2010-12-31;SUZANO HOLDING S.A.;0.8249715880753686;0.3757392202109784;6.431833247469234;0.455457164394674;0.544542835605326
2010-12-31;SUZANO S.A.;0.8282221369150613;0.37837479020947407;6.2151427119836375;0.4568518195116517;0.5431481804883483
2010-12-31;TAURUS ARMAS S.A.;0.70655197045458;0.32546824008537184;3.1424529486176693;0.460643029381084;0.5393569706189161
2010-12-31;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;0.6144651034104437;0.336834191829679;2.260909617655472;0.5481746480966294;0.45182535190337053
