DENOM_SOCIAL
3R PETROLEUM OLÉO E GÁS S.A.
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.
AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A
ALFA HOLDINGS SA
ALIANSCE SONAE SHOPPING CENTERS S.A.
ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.
ALPARGATAS SA
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
ALUPAR INVESTIMENTO S/A
AMBEV S.A.
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
AMPLA ENERGIA E SERVIÇOS S.A.
ANIMA HOLDING S/A
AREZZO INDÚSTRIA E COMERCIO S/A
ATACADÃO S.A.
ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
AZEVEDO & TRAVASSOS SA
AZUL S.A.
B3 S.A. - BRASIL, BOLSA, BALCÃO
BAHEMA EDUCACAO S.A.
BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL
BAUMER SA
BB SEGURIDADE PARTICIPAÇÕES S.A.
BBM LOGÍSTICA S.A.
BEMOBI MOBILE TECH S.A.
BICICLETAS MONARK SA
BIOMM SA
BLUE TECH SOLUTIONS EQI S.A.
BOMBRIL SA
BR MALLS PARTICIPAÇOES S.A.
BR PROPERTIES S.A.
BRADESPAR S/A
BRASILAGRO CIA BRAS DE PROP AGRICOLAS
BRASKEM S.A.
BRAZILIAN FINANCE & REAL ESTATE S.A.
BRF S.A.
BRQ SOLUÇÕES EM INFORMÁTICA S.A.
CAMBUCI SA
CAMIL ALIMENTOS S/A
CCR S.A.
CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO
CEMEPE INVESTIMENTOS SA
CENTRAIS ELETRICAS BRASILEIRAS SA
CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CENTRO DE IMAGEM DIAGNÓSTICOS S.A.
CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO
CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN
CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA
CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA
CIA ENERG CEARA - COELCE
CIA ENERG MINAS GERAIS - CEMIG
CIA ENERGÉTICA DE PERNAMBUCO - CELPE
CIA ENERGÉTICA DO RIO GRANDE DO NORTE
CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA
CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA
CIA FERRO LIGAS BAHIA FERBASA
CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO
CIA SIDERURGICA NACIONAL
CIA TECIDOS NORTE DE MINAS - COTEMINAS
CIA TECIDOS SANTANENSE
CIA. DE SANEAMENTO DO PARANÁ - SANEPAR
CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO
CIMS SA
COGNA EDUCAÇÃO S.A.
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO
COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR
COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS
COMPANHIA DE SANEAMENTO DE MINAS GERAIS
COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB
COMPANHIA PARANAENSE DE ENERGIA COPEL
COMPANHIIA HABITASUL DE PARTICIPAÇÕES
CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART
CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.
CONSERVAS ODERICH SA
CONSORCIO ALFA DE ADMINISTRAÇÃO SA
CONSTRUTORA ADOLPHO LINDENBERG S.A.
CONSTRUTORA TENDA S/A
CORRÊA RIBEIRO S/A COMÉRCIO E INDÚSTRIA
COSAN S.A.
CPFL ENERGIA SA
CPFL ENERGIAS RENOVÁVEIS S.A.
CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A
CRUZEIRO DO SUL EDUCACIONAL S.A.
CSU DIGITAL S.A.
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.
CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA
CURY CONSTRUTORA E INCORPORADORA S.A.
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA
CYRELA BRAZIL REALTY SA EMPRS E PARTS
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.
DEXCO S.A.
DEXXOS PARTICPAÇÕES S.A.
DIAGNOSTICOS DA AMERICA SA
DIBENS LEASING S.A.- ARREND. MERCANTIL
DIMED SA DISTRIBUIDORA DE MEDICAMENTOS
DIRECIONAL ENGENHARIA SA
DOHLER S.A.
DTCOM - DIRECT TO COMPANY S.A.
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
EDP ENERGIAS DO BRASIL S/A
ELECTRO AÇO ALTONA S/A
ELEKTRO REDES S.A.
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR
ELETROMIDIA S.A.
ELETROPAULO METROPOLITANA EL.S.PAULO S.A
EMAE EMP.METROPOLITANA ÁGUAS ENERGIA S.A
EMBPAR PARTICIPAÇÕES S/A
EMBRAER S.A.
ENAUTA PARTICIPAÇÕES S.A.
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A
ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A
ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A
ENERGISA SA
ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A
ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.
ENERGISA TRANSMISSÃO DE ENERGIA S.A.
ENEVA S.A.
ENGIE BRASIL ENERGIA S.A.
ENJOEI S.A.
EQUATORIAL ENERGIA S/A
EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.
ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL
EUCATEX SA IND E COMERCIO
EUROFARMA LABORATÓRIOS S.A.
EVEN CONSTRUTORA E INCORPORADORA S/A
EXCELSIOR ALIMENTOS SA.
EZ TEC EMPREEND. E PARTICIPAÇÕES S/A
FERROVIA CENTRO ATLANTICA SA
FERTILIZANTES HERINGER S.A.
FLEURY SA
FLEX GESTÃO DE RELACIONAMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL
FRAS-LE SA
GAFISA SA
GENERAL SHOPPING E OUTLETS DO BRASIL S.A.
GERDAU S.A.
GOL LINHAS AEREAS INTELIGENTES SA
GRAZZIOTIN SA
GRENDENE SA
GRUPO DE MODA SOMA S.A.
GRUPO MATEUS S.A.
GRUPO SBF S.A.
GUARARAPES CONFECÇÕES SA
HAGA S.A. INDÚSTRIA E COMÉRCIO
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.
HELBOR EMPREENDIMENTOS S/A
HERCULES S/A - FABRICA DE TALHERES
HIDROVIAS DO BRASIL S.A.
HOSPITAL MATER DEI S.A.
HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL
HYPERA S/A
IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL
IGUA SANEAMENTO S.A.
IGUATEMI EMPRESA DE SHOPPING CENTERS S/A
IGUATEMI S.A.
INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL
INSTITUTO HERMES PARDINI S/A
INTELBRAS S.A.
INTER CONSTRUTORA E INCORPORADORA S.A
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.
INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR
IOCHPE-MAXION SA
ITAPEBI GERAÇÃO DE ENERGIA S/A
ITAUSA S.A.
JALLES MACHADO S.A.
JBS SA
JHSF PARTICIPAÇÕES SA
JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL
JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP
JSL S.A.
KARSTEN SA
KEPLER WEBER SA
KLABIN S.A.
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A
LIGHT SA
LIGHT SERVIÇOS DE ELETRICIDADE SA
LOCALIZA RENT A CAR SA
LOCAWEB SERVIÇOS DE INTERNET S.A.
LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.
LOG-IN LOGISTICA INTERMODAL SA
LOJAS QUERO-QUERO S.A.
LOJAS RENNER SA
LPS BRASIL CONSULTORIA DE IMOVEIS S/A
LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL
M. DIAS BRANCO SA IND E COM DE ALIMENTOS
MAESTRO LOCADORA DE VEÍCULOS S.A.
MAGAZINE LUIZA SA
MAHLE METAL LEVE S.A.
MANGELS INDUSTRIAL S.A.
MANUFATURA DE  BRINQUEDOS ESTRELA SA
MARCOPOLO SA
MARFRIG GLOBAL FOODS SA
MARISA LOJAS SA
MASSA FALIDA DA BRASIL PHARMA SA
MELIUZ S.A.
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.
METALFRIO SOLUTIONS S/A
METALURGICA GERDAU SA
METALURGICA RIOSULENSE SA
METISA METALÚRGICA  TIMBOENSE SA
MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.
MINERVA S/A
MINUPAR PARTICIPACOES SA
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
MMX MINERAÇÃO E METÁLICOS S.A - FALIDA
MOBLY S.A.
MONTEIRO ARANHA SA
MOURA DUBEUX ENGENHARIA S/A
MOVIDA PARTICIPAÇÕES S.A.
MPM CORPÓREOS S.A.
MRV ENGENHARIA E PARTICIPAÇÕES S/A
MULTIPLAN EMP. IMOBILIARIOS S/A
MUNDIAL S.A - PRODUTOS DE CONSUMO
NATURA & CO HOLDING S.A.
NATURA COSMETICOS SA
NEOENERGIA S.A
NEXPE PARTICIPAÇÕES S.A.
NORDON INDS METALURGICAS SA
NUTRIPLANT INDUSTRIA E COMÉRCIO S/A
OCEANPACT SERVIÇOS MARÍTIMOS S.A.
ODONTOPREV S/A
OMEGA GERAÇÃO S.A.
ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.
OSX BRASIL S.A.
OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.
PADTEC HOLDING S.A.
PANATLANTICA SA
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL
PBG S/A
PDG REALTY S.A. EMPREENDIMENTOS E PARTICIPACOES
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.
PETRO RIO S.A.
PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS
PETTENATI SA IND TEXTIL
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A
POLPAR S.A.
POMIFRUTAS S/A - EM RECUPERAÇÃO JUDICIAL
POSITIVO TECNOLOGIA S.A.
PRINER SERVIÇOS INDUSTRIAIS S.A.
PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS S.A.
PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.
QUALITY SOFTWARE S.A.
RAIA DROGASIL S.A.
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
RECRUSUL SA
REDE D'OR SÃO LUIZ S.A.
REDE ENERGIA PARTICIPAÇÕES S.A.
REFINARIA PET MANGUINHOS SA
RENOVA ENERGIA S.A. -  EM RECUPERAÇÃO JUDICIAL
RIO PARANAPANEMA ENERGIA SA
RNI NEGÓCIOS IMOBILIÁRIOS S.A.
ROMI S.A.
ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL
RUMO S.A.
SANSUY SA INDÚSTRIA  DE PLASTICOS
SANTOS BRASIL PARTICIPAÇÕES S.A.
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL
SCHULZ SA
SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS
SENDAS DISTRIBUIDORA S.A.
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.
SER EDUCACIONAL S.A.
SIDERURGICA J L ALIPERTI SA
SIMPAR S.A.
SINQIA S.A.
SLC AGRICOLA SA
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
SONDOTECNICA ENGENHARIA DE SOLOS S/A.
SPRINGS GLOBAL PARTICIPAÇÕES S/A
STATKRAFT ENERGIAS RENOVÁVEIS S.A.
SUZANO HOLDING S.A.
SUZANO S.A.
SYN PROP & TECH S.A.
SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A
SÃO MARTINHO SA
SÃO PAULO TURISMO S.A.
T4F ENTRETENIMENTO SA
TAURUS ARMAS S.A.
TECHNOS SA
TECNISA S/A
TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL
TEGMA GESTÃO LOGÍSTICA SA
TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL
TEKNO S.A. INDÚSTRIA E COMÉRCIO
TELEC. BRASILEIRAS S.A. - TELEBRÁS
TELEFÔNICA BRASIL S.A.
TERMELÉTRICA PERNAMBUCO III S.A.
TERMOPERNAMBUCO SA
TIM S.A.
TOTVS S.A
TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.
TRACK & FIELD CO S.A
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.
TRAVESSIA SECURITIZADORA S.A.
TREVISA  INVESTIMENTOS SA
TRISUL S/A
TRONOX PIGMENTOS DO BRASIL S.A.
TUPY SA
TÊXTIL RENAUXVIEW S/A
ULTRAPAR PARTICIPAÇÕES SA
UNICASA INDÚSTRIA DE MÓVEIS S.A.
UNIPAR CARBOCLORO S.A.
USINAS SIDERURGICAS DE MINAS GERAIS SA
VALE S.A.
VALID SOLUÇÕES S.A.
VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.
VESTE SA ESTILO
VIA S.A.
VIBRA ENERGIA S/A
VIVARA PARTICIPAÇÕES S.A.
VIVER INCORPORADORA E CONSTRUTORA S.A
VIX LOGÍSTICA S/A
VULCABRAS S.A.
WEG SA
WESTWING COMÉRCIO VAREJISTA S.A.
WETZEL S.A.
WHIRLPOOL S.A
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.
YDUQS PARTICIPACOES S.A.
YOU INC INCORPORADORA E PARTICIPAÇÕES S.A.
ZAMP S.A.
